id,user_id,experiment_id,scenario_type,actor_id,actor_name
0,"FDI_AD","","S1_BasicMechanics","1","BP_HandlePoint1081"
1,"FDI_AD","","S1_BasicMechanics","1","BP_HandlePoint1082"
2,"FDI_AD","","S1_BasicMechanics","1","BP_HandlePoint1088"
3,"FDI_AD","","S1_BasicMechanics","1","BP_HandlePoint1089"
4,"FDI_AD","","S1_BasicMechanics","4","Dosimeter_EPD_3"
5,"FDI_AD","","S1_BasicMechanics","4","Dosimeter_EPD_1"
6,"FDI_AD","","S1_BasicMechanics","4","Dosimeter_EPD_2"
7,"FDI_AD","","S1_BasicMechanics","2","TrafficCone_4"
8,"FDI_AD","","S1_BasicMechanics","2","TrafficCone_3"
9,"FDI_AD","","S1_BasicMechanics","2","TrafficCone_5"
10,"FDI_AD","","S1_BasicMechanics","2","TrafficCone_1"
11,"FDI_AD","","S1_BasicMechanics","2","TrafficCone_2"
12,"FDI_AD","","S1_BasicMechanics","3","Dosimeter_SABG100_1"
13,"FDI_AD","","S1_BasicMechanics","3","Dosimeter_SABG100_4"
14,"FDI_AD","","S1_BasicMechanics","3","Dosimeter_SABG100_2"
15,"FDI_AD","","S1_BasicMechanics","3","Dosimeter_SABG100_3"
16,"FDI_AD","","S1_BasicMechanics","2","TrafficCone_6"
17,"FDI_AD","","S1_BasicMechanics","2","TrafficCone_7"
