id,user_id,experiment_id,scenario_type,tutorial_item_id,event_type,event_datetime
0,"FDI_BK","","T2_BasicEmergency","RBQ_Functionality","started","2025-2-21 10:27:16.835"
1,"FDI_BK","","T2_BasicEmergency","RBQ_Functionality","completed","2025-2-21 10:27:42.519"
2,"FDI_BK","","T2_BasicEmergency","OI_WalkieTalkie","started","2025-2-21 10:28:57.651"
3,"FDI_BK","","T2_BasicEmergency","OI_WalkieTalkie","completed","2025-2-21 10:29:39.299"
4,"FDI_BK","","T2_BasicEmergency","OI_SABG100","started","2025-2-21 10:30:20.47"
5,"FDI_BK","","T2_BasicEmergency","OI_SABG100","completed","2025-2-21 10:31:1.938"
6,"FDI_BK","","T2_BasicEmergency","OI_EPD","started","2025-2-21 10:31:42.635"
7,"FDI_BK","","T2_BasicEmergency","OI_EPD","completed","2025-2-21 10:31:49.18"
8,"FDI_BK","","T2_BasicEmergency","HP_Functionality","started","2025-2-21 10:32:35.211"
9,"FDI_BK","","T2_BasicEmergency","HP_Functionality","completed","2025-2-21 10:34:57.578"
