id,user_id,experiment_id,scenario_type,actor_id,conversation_index,event_type,event_datetime
0,"FDI_BB","","T1_BasicMechanics","1","0","start_talk_with_npc","2025-2-18 11:26:49.431"
1,"FDI_BB","","T1_BasicMechanics","1","0","stop_talk_with_npc","2025-2-18 11:27:13.586"
