id,user_id,experiment_id,scenario_type,actor_id,conversation_index,event_type,event_datetime
0,"FDI_AG","","S2_BasicEmergency","5","0","start_talk_with_npc","2025-2-20 11:43:30.381"
1,"FDI_AG","","S2_BasicEmergency","5","0","stop_talk_with_npc","2025-2-20 11:43:54.966"
2,"FDI_AG","","S2_BasicEmergency","5","1","start_talk_with_npc","2025-2-20 11:44:59.512"
3,"FDI_AG","","S2_BasicEmergency","5","1","stop_talk_with_npc","2025-2-20 11:45:8.664"
4,"FDI_AG","","S2_BasicEmergency","6","0","start_talk_with_npc","2025-2-20 11:45:18.822"
5,"FDI_AG","","S2_BasicEmergency","6","0","stop_talk_with_npc","2025-2-20 11:45:29.547"
6,"FDI_AG","","S2_BasicEmergency","6","1","start_talk_with_npc","2025-2-20 11:45:55.368"
7,"FDI_AG","","S2_BasicEmergency","6","1","stop_talk_with_npc","2025-2-20 11:46:19.711"
8,"FDI_AG","","S2_BasicEmergency","6","1","start_talk_with_npc","2025-2-20 11:46:23.471"
9,"FDI_AG","","S2_BasicEmergency","6","1","stop_talk_with_npc","2025-2-20 11:46:58.458"
