id,user_id,experiment_id,scenario_type,event_type,event_state,event_datetime
0,"FDI_AL","","S1_BasicMechanics","00001","Completed","2025-2-21 12:33:52.597"
1,"FDI_AL","","S1_BasicMechanics","S1001","Started","2025-2-21 12:34:16.104"
2,"FDI_AL","","S1_BasicMechanics","S1001","Completed","2025-2-21 12:34:34.404"
3,"FDI_AL","","S1_BasicMechanics","S1002","Started","2025-2-21 12:34:34.420"
4,"FDI_AL","","S1_BasicMechanics","S1002","Completed","2025-2-21 12:35:16.467"
5,"FDI_AL","","S1_BasicMechanics","S1003","Started","2025-2-21 12:35:16.487"
6,"FDI_AL","","S1_BasicMechanics","S1003","Completed","2025-2-21 12:40:26.86"
7,"FDI_AL","","S1_BasicMechanics","S1004","Started","2025-2-21 12:40:26.108"
8,"FDI_AL","","S1_BasicMechanics","S1004","Completed","2025-2-21 12:41:21.719"
9,"FDI_AL","","S1_BasicMechanics","S1005","Started","2025-2-21 12:41:21.741"
10,"FDI_AL","","S1_BasicMechanics","S1005","Completed","2025-2-21 12:42:24.704"
11,"FDI_AL","","S1_BasicMechanics","00002","Completed","2025-2-21 12:42:24.725"
